start,end,low,high,open,close,volume,VWAP
2024-11-14T08:17:42.280000-05:00,2024-11-15T00:00:00.000000-05:00,225.0,228.87,225.02,228.22,44923941,227.456395
2024-11-15T00:00:00.000000-05:00,2024-11-16T00:00:00.000000-05:00,224.27,226.92,226.4,225.0,47923696,225.141633
2024-11-18T00:00:00.000000-05:00,2024-11-19T00:00:00.000000-05:00,225.17,229.74,225.25,228.02,44686020,228.038653
2024-11-19T00:00:00.000000-05:00,2024-11-20T00:00:00.000000-05:00,226.66,230.16,226.98,228.28,36211774,228.651689
2024-11-20T00:00:00.000000-05:00,2024-11-21T00:00:00.000000-05:00,225.89,229.93,228.06,229.0,35169566,228.019456
2024-11-21T00:00:00.000000-05:00,2024-11-22T00:00:00.000000-05:00,225.7103,230.155,228.88,228.52,42108327,228.438368
2024-11-22T00:00:00.000000-05:00,2024-11-23T00:00:00.000000-05:00,228.06,230.7199,228.06,229.87,38168252,229.692893
2024-11-25T00:00:00.000000-05:00,2024-11-26T00:00:00.000000-05:00,229.74,233.245,231.46,232.87,90152832,232.405019
2024-11-26T00:00:00.000000-05:00,2024-11-27T00:00:00.000000-05:00,233.33,235.57,233.33,235.06,45986189,234.822004
2024-11-27T00:00:00.000000-05:00,2024-11-28T00:00:00.000000-05:00,233.8101,235.69,234.465,234.93,33498439,234.806512
2024-11-29T00:00:00.000000-05:00,2024-11-30T00:00:00.000000-05:00,233.97,237.81,234.805,237.33,28481377,236.572386
2024-12-02T00:00:00.000000-05:00,2024-12-03T00:00:00.000000-05:00,237.16,240.79,237.27,239.59,48137103,239.523142
2024-12-03T00:00:00.000000-05:00,2024-12-04T00:00:00.000000-05:00,238.9,242.76,239.81,242.65,38861017,241.629897
2024-12-04T00:00:00.000000-05:00,2024-12-05T00:00:00.000000-05:00,241.25,244.11,242.87,243.01,44383935,242.952473
2024-12-05T00:00:00.000000-05:00,2024-12-06T00:00:00.000000-05:00,242.13,244.54,243.99,243.04,40033878,243.054702
2024-12-06T00:00:00.000000-05:00,2024-12-07T00:00:00.000000-05:00,242.08,244.63,242.905,242.84,36870619,243.2116
2024-12-09T00:00:00.000000-05:00,2024-12-10T00:00:00.000000-05:00,241.75,247.24,241.83,246.86,44649232,245.994876
2024-12-10T00:00:00.000000-05:00,2024-12-11T00:00:00.000000-05:00,245.34,248.21,246.89,247.77,36914806,247.266302
2024-12-11T00:00:00.000000-05:00,2024-12-12T00:00:00.000000-05:00,246.2601,250.8,247.96,246.49,45205814,248.249524
