start,end,low,high,open,close,volume,VWAP
2024-11-14T08:11:56.860000-05:00,2024-11-15T00:00:00.000000-05:00,573.01,580.76,577.0,577.16,11053743,576.619042
2024-11-15T00:00:00.000000-05:00,2024-11-16T00:00:00.000000-05:00,551.5,572.57,571.22,554.08,17712864,558.256616
2024-11-18T00:00:00.000000-05:00,2024-11-19T00:00:00.000000-05:00,550.09,559.9,557.04,554.4,14346715,554.917707
2024-11-19T00:00:00.000000-05:00,2024-11-20T00:00:00.000000-05:00,550.6,561.43,551.86,561.09,9522445,557.09411
2024-11-20T00:00:00.000000-05:00,2024-11-21T00:00:00.000000-05:00,554.2001,566.3499,562.93,565.52,9797339,562.736101
2024-11-21T00:00:00.000000-05:00,2024-11-22T00:00:00.000000-05:00,549.05,570.0,569.52,563.09,11154749,559.424582
2024-11-22T00:00:00.000000-05:00,2024-11-23T00:00:00.000000-05:00,554.59,563.8273,563.55,559.14,9164004,558.733738
2024-11-25T00:00:00.000000-05:00,2024-11-26T00:00:00.000000-05:00,556.39,572.5915,562.1,565.11,13599830,564.45955
2024-11-26T00:00:00.000000-05:00,2024-11-27T00:00:00.000000-05:00,565.2,577.5,566.0,573.54,10356550,573.046865
2024-11-27T00:00:00.000000-05:00,2024-11-28T00:00:00.000000-05:00,564.1001,574.98,574.89,569.2,7200228,568.593463
2024-11-29T00:00:00.000000-05:00,2024-11-30T00:00:00.000000-05:00,566.9,578.46,569.0,574.32,7130519,574.105164
2024-12-02T00:00:00.000000-05:00,2024-12-03T00:00:00.000000-05:00,575.57,594.5,577.5,592.83,12522371,589.846842
2024-12-03T00:00:00.000000-05:00,2024-12-04T00:00:00.000000-05:00,591.2501,614.2,595.0,613.65,14907164,605.951669
2024-12-04T00:00:00.000000-05:00,2024-12-05T00:00:00.000000-05:00,605.1,617.78,612.96,613.78,14697006,611.98378
2024-12-05T00:00:00.000000-05:00,2024-12-06T00:00:00.000000-05:00,607.05,619.9,617.075,608.93,8081212,611.059748
2024-12-06T00:00:00.000000-05:00,2024-12-07T00:00:00.000000-05:00,608.53,629.7899,610.1,623.77,16935503,622.629099
2024-12-09T00:00:00.000000-05:00,2024-12-10T00:00:00.000000-05:00,606.1701,626.4,623.925,613.57,11426015,614.24979
2024-12-10T00:00:00.000000-05:00,2024-12-11T00:00:00.000000-05:00,612.74,625.59,617.56,619.32,10938854,619.488667
2024-12-11T00:00:00.000000-05:00,2024-12-12T00:00:00.000000-05:00,621.5349,638.4,623.37,632.68,10837228,633.125804
2024-12-12T00:00:00.000000-05:00,2024-12-13T00:00:00.000000-05:00,627.2094,636.6599,631.5,630.79,7474717,631.874703
2024-12-13T00:00:00.000000-05:00,2024-12-14T00:00:00.000000-05:00,616.886,631.08,627.22,620.35,8453349,621.62568
2024-12-16T00:00:00.000000-05:00,2024-12-17T00:00:00.000000-05:00,618.58,631.15,629.975,624.24,10885625,624.847754
2024-12-17T00:00:00.000000-05:00,2024-12-18T00:00:00.000000-05:00,616.54,632.37,626.17,619.44,12897842,621.543276
2024-12-18T00:00:00.000000-05:00,2024-12-19T00:00:00.000000-05:00,596.32,627.36,621.0,597.19,17075480,610.941434
