Date,MSFT
2023-01-03,32853.381606379866
2023-01-04,31416.266149660547
2023-01-05,30485.158743285603
2023-01-06,30844.437074708734
2023-01-09,31144.749894722932
2023-01-10,31381.986452641246
2023-01-11,32330.917767126935
2023-01-12,32706.64975643183
2023-01-13,32805.384489883174
2023-01-17,32958.96972200293
2023-01-18,32336.40089906966
2023-01-19,31804.341046160258
2023-01-20,32941.14368286538
2023-01-23,33264.76354293305
2023-01-24,33190.71675489813
2023-01-25,32994.6239313048
2023-01-26,34008.00602016894
2023-01-27,34029.95133410061
2023-01-30,33282.59171309738
2023-01-31,33981.95208657713
2023-02-01,34659.371408178784
2023-02-02,36284.34540095677
2023-02-03,35427.29543775073
2023-02-06,35210.62755045471
2023-02-07,36690.25486070121
2023-02-08,36576.43671959708
2023-02-09,36149.96711333752
2023-02-10,36078.65869473377
2023-02-13,37205.86531778243
2023-02-14,37322.419697290934
2023-02-15,37024.10151835656
2023-02-16,36038.42064679653
2023-02-17,35476.162013179644
2023-02-21,34735.180555372914
2023-02-22,34575.71368929984
2023-02-23,35023.87714832928
2023-02-24,34260.901362974604
2023-02-27,34390.126827804306
2023-02-28,34288.39587067963
2023-03-01,33855.360570865654
2023-03-02,34520.72680491658
2023-03-03,35095.3603111302
2023-03-06,35312.567348205266
2023-03-07,34938.64033859547
2023-03-08,34876.780892799354
2023-03-09,34687.0726254829
2023-03-10,34174.29430301181
2023-03-13,34907.02229404273
2023-03-14,35851.45714199163
2023-03-15,36490.70977370049
2023-03-16,37969.91514064163
2023-03-17,38413.944407689385
2023-03-20,37424.14639236202
2023-03-21,37637.22776156258
2023-03-22,37432.39346605745
2023-03-23,38170.61524416507
2023-03-24,38570.668642277706
2023-03-27,37994.660623781514
2023-03-28,37836.56826999101
2023-03-29,38562.42156858227
2023-03-30,39049.07137152373
2023-03-31,39633.33498782253
2023-04-03,39486.2387322926
2023-04-04,39479.35977779936
2023-04-05,39088.9386207987
2023-04-06,40086.98797187508
2023-04-10,39783.176005864014
2023-04-11,38881.35530072843
2023-04-12,38972.085897538935
2023-04-13,39845.03971371372
2023-04-14,39336.393452197524
2023-04-17,39702.06486400471
2023-04-18,39642.958704827324
2023-04-19,39653.9548030879
2023-04-20,39332.26352226942
2023-04-21,39284.14493724544
2023-04-24,38735.631426454274
2023-04-25,37862.68187233308
2023-04-26,40605.26221244966
2023-04-27,41905.75114828134
2023-04-28,42239.81090861617
2023-05-01,42006.10546209665
2023-05-02,41985.48990888487
2023-05-03,41846.63220294319
2023-05-04,41985.48990888487
2023-05-05,42705.840896292255
2023-05-08,42430.89581924199
2023-05-09,42204.060803108536
2023-05-10,42934.04829368149
2023-05-11,42631.59592276543
2023-05-12,42474.88873639147
2023-05-15,42542.24196926429
2023-05-16,42855.68617638733
2023-05-17,43260.738963360294
2023-05-18,43883.47187535675
2023-05-19,43858.66672346662
2023-05-22,44249.94881529233
2023-05-23,43434.33240605534
2023-05-24,43240.07226550544
2023-05-25,44902.993452416384
2023-05-26,45863.27248458377
2023-05-30,45631.80887825226
2023-05-31,45243.29285920605
2023-06-01,45820.55818351111
2023-06-02,46209.0784646109
2023-06-05,46283.481134120535
2023-06-06,45972.112547095516
2023-06-07,44553.04901835397
2023-06-08,44812.06253908717
2023-06-09,45022.85092345665
2023-06-12,45719.98224290915
2023-06-13,46056.151719770714
2023-06-14,46476.356107253894
2023-06-15,47958.80489697655
2023-06-16,47163.85092354083
2023-06-20,46574.1830232907
2023-06-21,45955.58004122235
2023-06-22,46802.88055684271
2023-06-23,46156.72766037267
2023-06-26,45272.227941024285
2023-06-27,46094.727566808106
2023-06-28,46271.07855817547
2023-06-29,46160.85759030077
2023-06-30,46917.231454645516
2023-07-03,46565.914639327326
2023-07-05,46587.95798049155
2023-07-06,47017.803133193884
2023-07-07,46459.827863434315
2023-07-10,45717.22895629042
2023-07-11,45805.41084505448
2023-07-12,46457.07457681558
2023-07-13,47209.314249178635
2023-07-14,47564.769518532106
2023-07-17,47632.276185334136
2023-07-18,49528.03335983237
2023-07-19,48920.45631039971
2023-07-20,47789.337122156016
2023-07-21,47362.24099401882
2023-07-24,47546.85610729598
2023-07-25,48355.58503793255
2023-07-26,46535.59865214614
2023-07-27,45564.30221145023
2023-07-28,46618.26544356556
2023-07-31,46280.72358544821
2023-08-01,46338.589487031095
2023-08-02,45120.66931538628
2023-08-03,45004.9460363277
2023-08-04,45159.25368653085
2023-08-07,45480.263038775025
2023-08-08,44920.906863652504
2023-08-09,44394.61143822273
2023-08-10,44491.04892478941
2023-08-11,44226.52883081874
2023-08-14,44643.979931683185
2023-08-15,44343.63301524027
2023-08-16,44235.93944514407
2023-08-17,43749.958784616145
2023-08-18,43694.73109420508
2023-08-21,44440.283604486416
2023-08-22,44520.3590673235
2023-08-23,45147.17502665857
2023-08-24,44176.57330069773
2023-08-25,44592.14909798285
2023-08-28,44691.561497954914
2023-08-29,45341.84432435306
2023-08-30,45394.30594198461
2023-08-31,45252.10252397528
2023-09-01,45376.35843431977
2023-09-05,46051.497557251125
2023-09-06,45958.993946147435
2023-09-07,45548.94177031414
