Date,TSLA
2023-01-03,30415.57563385089
2023-01-04,31974.338994038764
2023-01-05,31045.833038169512
2023-01-06,31811.146673879397
2023-01-09,33699.10678061064
2023-01-10,33440.25132931052
2023-01-11,34669.81794295503
2023-01-12,34765.48107409578
2023-01-13,34439.098580423015
2023-01-17,36996.70919172339
2023-01-18,36234.207662238136
2023-01-19,35781.209549139945
2023-01-20,37539.74193022113
2023-01-23,40446.24476486714
2023-01-24,40485.635718471676
2023-01-25,40637.57102714863
2023-01-26,45094.39875666265
2023-01-27,50054.86397777792
2023-01-30,46892.322091348375
2023-01-31,48738.07699160447
2023-02-01,51042.45851069996
2023-02-02,52972.62382390634
2023-02-03,53453.75587912666
2023-02-06,54798.68110071419
2023-02-07,55375.480580367206
2023-02-08,56635.99538900445
2023-02-09,58332.63138010016
2023-02-10,55397.99031004008
2023-02-13,54764.91865285085
2023-02-14,58875.664118597895
2023-02-15,60279.67791723821
2023-02-16,56847.01927473419
2023-02-17,58611.18016155658
2023-02-21,55533.04439478537
2023-02-22,56515.010421966195
2023-02-23,56855.46417999197
2023-02-24,55395.17820381545
2023-02-27,58419.85389927508
2023-02-28,57879.63326700197
2023-03-01,57052.418948014674
2023-03-02,53712.61133042677
2023-03-03,55651.21725559899
2023-03-06,54531.385037448235
2023-03-07,52815.060009488174
2023-03-08,51208.462937083954
2023-03-09,48653.666578654185
2023-03-10,48799.977674881884
2023-03-13,49092.595574045336
2023-03-14,51562.981519524816
2023-03-15,50772.34604791743
2023-03-16,51807.77214640984
2023-03-17,50682.31142251789
2023-03-20,51560.16941330019
2023-03-21,55592.13297183815
2023-03-22,53782.95262567002
2023-03-23,54084.015430091255
2023-03-24,53574.745139456856
2023-03-27,53968.654675502265
2023-03-28,53231.47927520645
2023-03-29,54551.082660896485
2023-03-30,54944.99219694189
2023-03-31,58372.02233370471
2023-04-03,54801.49750023076
2023-04-04,54185.307066973204
2023-04-05,52198.869576230616
2023-04-06,52069.439703934586
2023-04-10,51914.68799574106
2023-04-11,52556.20026489611
2023-04-12,50797.66788381493
2023-04-13,52305.78542556183
2023-04-14,52052.55848000292
2023-04-17,52626.54156013936
2023-04-18,51858.41581820485
2023-04-19,50811.73700152197
2023-04-20,45859.71239237254
2023-04-21,46447.764590216015
2023-04-24,45735.91102581771
2023-04-25,45206.94311173507
2023-04-26,43259.89657459702
2023-04-27,45071.88902698978
2023-04-28,46231.11219874507
2023-05-01,45533.3277520538
2023-05-02,45105.65147485312
2023-05-03,45190.0618878034
2023-05-04,45356.066314187396
2023-05-05,47848.961989339754
2023-05-08,48335.72255030128
2023-05-09,47592.91864426427
2023-05-10,47421.28571213907
2023-05-11,48417.32085702694
2023-05-12,47263.721897720905
2023-05-15,46805.09957217346
2023-05-16,46852.931137743835
2023-05-17,48918.1505356955
2023-05-18,49770.6866905803
2023-05-19,50685.123528742515
2023-05-22,53141.44035651496
2023-05-23,52269.210871473864
2023-05-24,51461.689882642866
2023-05-25,51903.43527755059
2023-05-26,54351.31149335721
2023-05-30,56599.420834916484
2023-05-31,57378.79929504146
2023-06-01,58388.90355763637
2023-06-02,60203.70811625376
2023-06-05,61227.87720326376
2023-06-06,62268.92751420543
2023-06-07,63186.18075188422
2023-06-08,66081.42657504782
2023-06-09,68765.64851248167
2023-06-12,70293.46367767682
2023-06-13,72791.98356527842
2023-06-14,72251.76722629728
2023-06-15,72001.34809367104
2023-06-16,73306.88665494598
2023-06-20,77220.67735267032
2023-06-21,73003.00745100818
2023-06-22,74452.03641570229
2023-06-23,72198.3071549857
2023-06-26,67823.07773219733
2023-06-27,70400.38382029998
2023-06-28,72097.0112248118
2023-06-29,72451.53410054461
2023-06-30,73652.96033212906
2023-07-03,78731.60700064184
2023-07-05,79480.03941242007
2023-07-06,77808.7295505138
2023-07-07,77215.04455363717
2023-07-10,75858.86232056723
2023-07-11,75909.51457894612
2023-07-12,76528.51282513636
2023-07-13,78191.38207507679
2023-07-14,79170.535996033
2023-07-17,81702.8226247899
2023-07-18,82535.66115622646
2023-07-19,81950.42535789956
2023-07-20,73970.90436048196
2023-07-21,73160.57126542633
2023-07-24,75704.11490566564
2023-07-25,74640.5548650511
2023-07-26,74378.88730752635
2023-07-27,71947.8923156514
2023-07-28,74966.93950536984
2023-07-31,75245.48828682625
2023-08-01,73456.00985739831
2023-08-02,71497.70630877785
2023-08-03,72963.62079069558
2023-08-04,71427.3650135346
2023-08-07,70749.27389699963
2023-08-08,70256.8848302969
2023-08-09,68143.83386677486
2023-08-10,69030.132469523
2023-08-11,68273.25944577894
2023-08-14,67460.11424449868
2023-08-15,65546.83444851592
2023-08-16,63475.98654482304
2023-08-17,61680.87531636195
2023-08-18,60631.38439345445
2023-08-21,65074.138711969485
2023-08-22,65611.54723801796
2023-08-23,66644.1569369938
2023-08-24,64725.24434197788
2023-08-25,67130.91749795532
2023-08-28,67195.6345807493
2023-08-29,72361.49518185311
2023-08-30,72282.71327464403
2023-08-31,72614.72212741202
2023-09-01,68937.28144460688
2023-09-05,72167.35252005504
2023-09-06,70881.51587552029
2023-09-07,70760.53090848205
2023-09-08,69919.2474717877
2023-09-11,76975.88243249335
2023-09-12,75259.56169782524
2023-09-13,76334.37016333829
2023-09-14,77668.0469600273
2023-09-15,77203.79612873866
2023-09-18,74640.5548650511
2023-09-19,74983.8207293015
2023-09-20,73883.68184130704
2023-09-21,71945.07591613484
2023-09-22,68900.70689051891
2023-09-25,69494.3875941036
2023-09-26,68686.86660527259
2023-09-27,67668.32602400379
2023-09-28,69322.7546619784
2023-09-29,70403.1959265246
2023-10-02,70791.48125012075
2023-10-03,69364.95772180756
